region_nm,region_id,business_day,min_part2,recom_successed_rate,call_ov_LV,reg_rec_diff,recom_cnt,recom_successed_cnt,recom_failed_cnt,non_rec_cnt,cnt_accept
원주,6363,2025.4.9,06:00:00,33.3 ,4.1 ,13.7 ,11 ,11 ,0 ,22 ,7 
원주,6363,2025.4.9,06:30:00,68.8 ,3.8 ,16.4 ,11 ,11 ,0 ,5 ,10 
원주,6363,2025.4.9,07:00:00,67.6 ,3.8 ,10.0 ,23 ,23 ,0 ,11 ,19 
원주,6363,2025.4.9,07:30:00,66.7 ,1.9 ,8.3 ,18 ,18 ,0 ,9 ,15 
원주,6363,2025.4.9,08:00:00,52.2 ,3.1 ,7.5 ,48 ,48 ,0 ,44 ,34 
원주,6363,2025.4.9,08:30:00,48.3 ,2.8 ,8.5 ,77 ,70 ,7 ,68 ,51 
원주,6363,2025.4.9,09:00:00,65.6 ,2.0 ,10.5 ,80 ,80 ,0 ,42 ,60 
원주,6363,2025.4.9,09:30:00,59.2 ,1.7 ,8.0 ,102 ,100 ,2 ,67 ,80 
원주,6363,2025.4.9,10:00:00,43.1 ,1.5 ,9.1 ,123 ,122 ,1 ,160 ,102 
원주,6363,2025.4.9,10:30:00,55.2 ,1.4 ,7.3 ,179 ,176 ,3 ,140 ,151 
원주,6363,2025.4.9,11:00:00,47.5 ,3.1 ,8.1 ,365 ,346 ,19 ,363 ,261 
원주,6363,2025.4.9,11:30:00,48.6 ,2.3 ,7.6 ,364 ,344 ,20 ,344 ,279 
원주,6363,2025.4.9,12:00:00,55.0 ,1.8 ,7.7 ,312 ,305 ,7 ,243 ,250 
원주,6363,2025.4.9,12:30:00,55.2 ,1.2 ,7.0 ,283 ,278 ,5 ,221 ,220 
원주,6363,2025.4.9,13:00:00,56.2 ,1.5 ,7.6 ,283 ,272 ,11 ,201 ,227 
원주,6363,2025.4.9,13:30:00,47.7 ,1.2 ,7.2 ,276 ,265 ,11 ,280 ,195 
원주,6363,2025.4.9,14:00:00,58.5 ,1.0 ,7.1 ,189 ,185 ,4 ,127 ,149 
원주,6363,2025.4.9,14:30:00,51.2 ,1.1 ,7.5 ,249 ,235 ,14 ,210 ,161 
원주,6363,2025.4.9,15:00:00,58.5 ,1.1 ,7.6 ,206 ,204 ,2 ,143 ,159 
원주,6363,2025.4.9,15:30:00,46.4 ,1.6 ,7.9 ,246 ,239 ,7 ,269 ,165 
원주,6363,2025.4.9,16:00:00,54.2 ,1.8 ,7.6 ,254 ,247 ,7 ,202 ,174 
원주,6363,2025.4.9,16:30:00,49.7 ,2.3 ,7.7 ,355 ,337 ,18 ,323 ,228 
원주,6363,2025.4.9,17:00:00,49.5 ,3.2 ,8.3 ,501 ,473 ,28 ,454 ,337 
원주,6363,2025.4.9,17:30:00,43.0 ,4.7 ,8.8 ,864 ,797 ,67 ,990 ,526 
원주,6363,2025.4.9,18:00:00,40.1 ,5.7 ,9.6 ,"1,505 ","1,269 ",236 ,"1,662 ",675 
원주,6363,2025.4.9,18:30:00,36.4 ,5.9 ,9.9 ,"2,018 ","1,598 ",420 ,"2,376 ",710 
원주,6363,2025.4.9,19:00:00,44.6 ,5.1 ,9.3 ,"1,328 ","1,200 ",128 ,"1,363 ",631 
원주,6363,2025.4.9,19:30:00,45.1 ,4.0 ,8.2 ,933 ,871 ,62 ,"1,000 ",560 
원주,6363,2025.4.9,20:00:00,48.7 ,3.3 ,9.1 ,736 ,690 ,46 ,681 ,452 
원주,6363,2025.4.9,20:30:00,47.3 ,2.6 ,7.9 ,570 ,537 ,33 ,566 ,376 
원주,6363,2025.4.9,21:00:00,54.1 ,2.5 ,8.6 ,411 ,400 ,11 ,328 ,308 
원주,6363,2025.4.9,21:30:00,47.1 ,3.5 ,9.0 ,438 ,413 ,25 ,439 ,277 
원주,6363,2025.4.9,22:00:00,48.6 ,2.7 ,9.0 ,392 ,378 ,14 ,385 ,245 
원주,6363,2025.4.9,22:30:00,46.7 ,3.5 ,8.6 ,334 ,301 ,33 ,311 ,213 
원주,6363,2025.4.9,23:00:00,44.9 ,3.2 ,9.5 ,270 ,258 ,12 ,305 ,180 
원주,6363,2025.4.9,23:30:00,40.3 ,3.1 ,8.7 ,229 ,207 ,22 ,285 ,141 
원주,6363,2025.4.9,24:00:00,48.9 ,1.9 ,10.4 ,126 ,114 ,12 ,107 ,77 
원주,6363,2025.4.9,24:30:00,62.8 ,3.7 ,10.5 ,99 ,98 ,1 ,57 ,78 
원주,6363,2025.4.9,25:00:00,57.3 ,4.0 ,10.9 ,90 ,86 ,4 ,60 ,67 
원주,6363,2025.4.9,25:30:00,41.2 ,3.3 ,13.7 ,66 ,63 ,3 ,87 ,43 
원주,6363,2025.4.9,26:00:00,52.3 ,3.3 ,13.0 ,46 ,46 ,0 ,42 ,42 
원주,6363,2025.4.9,26:30:00,68.3 ,2.9 ,9.2 ,43 ,43 ,0 ,20 ,36 
원주,6363,2025.4.9,27:00:00,61.9 ,1.0 ,20.0 ,13 ,13 ,0 ,8 ,8 
