cust_id,°¡°ø½ÄÇ°,°¡°ø½ÄÇ°2,³²¼ºÆÐ¼Ç,³²¼ºÆÐ¼Ç2,¸®ºù,¸®ºù2,¸®ºùÄÁÅÙÃ÷,¸®ºùÄÁÅÙÃ÷2,½ºÆ÷Ã÷ÆÀ,½ºÆ÷Ã÷ÆÀ2,½Å¼±½ÄÇ°,½Å¼±½ÄÇ°2,¾Æµ¿/Å×³ÍÆ®,¾Æµ¿/Å×³ÍÆ®2,¿©¼ºÆÐ¼Ç,¿©¼ºÆÐ¼Ç2,¿µÆÐ¼Ç,¿µÆÐ¼Ç2,¿ÍÄ¡ÁÖ¾ó¸®ÆÀ,¿ÍÄ¡ÁÖ¾ó¸®ÆÀ2,ÇØ¿Ü¸íÇ°ÆÀ,ÇØ¿Ü¸íÇ°ÆÀ2,"ÇØ¿ÜºäÆ¼,ACCÆÀ","ÇØ¿ÜºäÆ¼,ACCÆÀ2",F&B,F&B2,¸ÅÃâÇÕ°è
100003871,58,"5,868",23,"11,893",62,"35,483",3,578,53,"18,307",51,"7,092",22,"9,443",85,"29,855",13,"1,331",13,"41,102",86,"111,769",61,"12,120",235,"6,820","291,660"
100004913,2,528,,,35,"49,518",1,260,8,"1,879",3,658,,,7,"3,470",1,305,4,"70,960",18,"32,733",5,"1,240",57,"1,859","163,409"
100100021,35,"2,981",2,"2,317",12,"15,182",,,3,"1,583",30,"3,796",3,617,15,"32,298",2,536,10,"115,000",129,"448,939",25,"27,011",50,"2,147","652,408"
100120364,20,"1,783",,,2,146,,,1,409,9,451,5,"6,533",8,"3,966",,,,,14,"106,365",14,"-10,133",41,"1,584","111,103"
100249228,137,"14,949",13,"8,779",42,"11,225",6,"1,373",14,"7,323",77,"13,942",1,3,38,"14,635",1,78,2,"5,775",44,"102,192",73,"17,971",266,"8,380","206,625"
100249256,134,"48,906",6,"2,191",50,"12,282",1,610,4,"1,905",40,"3,899",36,"3,314",2,525,7,267,8,"41,735",87,"161,022",59,"10,268",209,"7,393","294,317"
100336595,429,"33,448",29,"5,706",89,"8,495",6,409,16,"1,969",197,"11,739",59,"5,214",35,"9,367",35,"2,360",8,421,47,"24,663",170,"18,389",923,"24,955","147,135"
100418743,41,"3,153",4,"1,238",32,"26,497",,,44,"6,614",68,"3,658",21,"4,496",17,"6,252",12,963,7,"20,020",76,"62,820",31,"5,661",160,"5,731","147,101"
100438679,64,"25,798",,,15,"10,126",1,280,,,55,"18,034",15,"2,583",7,"3,605",,,3,"5,250",37,"75,257",17,"9,492",84,"3,991","154,416"
100485541,10,"6,190",5,"3,217",18,"15,453",1,58,9,"2,150",11,"4,104",,,7,"1,580",3,541,2,"24,700",18,"34,284",42,"46,848",12,"1,106","140,230"
100521336,270,"35,958",158,"67,016",43,"5,254",6,407,21,"4,215",94,"7,943",1,81,22,"8,012",,,1,105,49,"23,593",39,"13,407",378,"13,398","179,389"
100637439,14,"2,460",6,790,3,"1,614",2,0,,,35,"7,317",,,12,"2,177",1,435,6,"1,681",68,"94,588",19,"30,226",17,839,"142,128"
100654492,89,"4,868",17,"9,516",8,"1,829",1,130,9,"3,637",24,940,7,264,9,"1,394",,,19,"40,820",20,"48,855",64,"13,115",243,"13,485","138,854"
100677772,38,"1,355",2,298,3,"9,082",,,3,644,62,"5,882",,,10,"1,883",1,109,2,450,51,"90,303",61,"18,318",38,653,"128,976"
100682602,34,"5,200",3,"1,140",15,"6,796",3,768,42,"27,500",33,"1,832",2,149,12,"1,609",1,530,,,47,"121,071",25,"16,106",31,"1,225","183,926"
100715476,55,"2,767",3,35,14,"6,476",1,"1,400",,,42,"2,117",1,107,24,"12,510",8,644,4,"62,250",16,"26,190",21,"5,862",318,"7,065","127,421"
100744271,138,"5,000",8,"5,925",16,"4,768",1,810,16,"12,046",114,"4,643",12,"1,962",5,"2,784",,,3,"11,178",24,"111,220",26,"7,873",150,"3,267","171,474"
100813718,78,"8,780",3,383,48,"15,242",1,40,2,0,50,"4,765",,,15,"7,777",1,114,21,"94,085",157,"173,840",13,"2,657",40,"1,293","308,976"
100929197,12,"1,306",19,"6,904",9,"1,167",,,29,"19,898",45,"2,248",,,19,"11,444",12,"1,993",1,520,22,"62,635",30,"15,828",101,"4,261","128,203"
100944574,39,"2,277",,,22,"4,705",,,1,159,20,"1,327",,,10,"5,038",,,32,"246,053",27,"21,657",12,"5,809",82,"2,620","289,645"
100960207,45,"12,495",15,"7,995",13,"2,046",2,133,23,"17,694",23,"3,372",4,567,19,"11,799",3,"1,422",2,791,65,"273,459",28,"6,800",50,"3,452","342,024"
100997807,68,"17,680",1,218,44,"14,605",,,20,"8,007",36,"10,822",7,"1,096",22,"11,896",12,"2,173",9,"5,869",31,"53,728",55,"37,214",48,"3,416","166,724"
101005893,105,"5,483",2,0,13,"4,634",,,61,"41,501",43,"2,680",7,"2,903",9,"1,332",1,34,6,"25,028",80,"392,852",13,"7,795",137,"2,643","486,884"
101032831,5,237,,,1,81,,,,,34,"1,842",3,"1,101",,,,,,,30,"174,239",9,"5,937",67,"5,047","188,483"
101044035,101,"34,099",7,"10,610",3,207,,,,,61,"22,175",1,140,7,"4,028",,,,,30,"71,806",27,"54,189",162,"5,358","202,611"
101050493,194,"25,876",7,"6,684",4,"2,364",,,6,"3,097",94,"15,363",8,"6,557",11,"4,646",1,22,1,480,30,"61,109",39,"30,324",160,"4,406","160,928"
