cust_id,Geo,Age,R_ninteen,C_ninteen,R_twenty,C_twenty,R_twentyone,C_twentyone,R_twentytwo,C_twentytwo,R_twentythree,C_twentythree
100003871,Gangnam,57,111467.848,581,162454.546,535,166825.606,544,291660.313,765,60635.339,266
100249228,Gangnam,91,48582.072,278,136284.453,712,177015.871,792,206624.764,714,174262.891,398
100249256,Gangnam,91,27534.427,204,49025.96,341,111416.269,535,294316.943,643,62895.991,131
100336595,Yangcheon,90,137519.376,2302,124742.951,2033,156145.497,2455,147134.562,2043,80221.569,1159
100418743,Yangcheon,89,68126.04,508,136847.451,482,120846.787,552,147101.342,513,108758.283,192
100521336,Gangnam,87,116815.124,854,128156.203,824,156943.997,777,179388.516,1082,88763.856,567
100654492,Seocho,86,89592.325,677,78871.667,400,103939.097,455,138853.8,510,131452.576,238
100997807,Seongnam,84,147259.896,244,96116.029,229,220542.645,334,166724.067,353,66742.923,131
101044035,Gangnam,83,175984.137,351,198329.191,365,238391.868,377,202611.341,399,168917.227,190
101050493,Seongdong,83,154731.326,480,142323.884,495,206874.329,436,160928.085,555,84658.22,217
101193181,Seocho,83,142086.218,407,102913.75,319,133690.94,305,156713.073,254,102406.867,132
101193441,Nam-gu,83,110246.961,630,98811.726,495,130938.077,490,138419.113,723,86861.138,301
101209264,Seocho,83,94307.267,1029,113083.149,1189,134252.964,1065,134321.472,1185,82425.73,490
101210269,Yongsan,83,111023.602,334,149005.556,371,112727.231,364,140983.366,408,60789.008,84
101292926,Junggu,82,93292.048,310,104260.417,305,141043.847,284,133232.493,316,181128.023,180
101405713,Gangnam,82,140328.037,573,153867.55,607,165185.161,949,162451.826,624,65790.308,319
101421274,Gangnam,82,200369.024,657,212028.662,576,208518.74,432,203184.702,422,103924.961,150
101436573,Junggu,82,66588.524,388,366.583,17,0,0,134177.035,578,54130.564,212
101560315,Gangnam,81,158012.652,448,104008.414,481,124168.253,205,135234.156,304,69546.689,197
101570167,Seo-gu,81,96173.41,271,112134.616,409,136081.598,412,128901.773,428,51665.278,182
101641789,Seongnam,81,171667.713,447,145433.123,319,132992.572,263,151581.414,394,86481.266,176
101676751,Gangnam,80,66496.631,272,46796.412,386,106107.423,405,131547.222,579,90858.93,199
101765979,Gangnam,80,24875.587,484,64768.826,788,114112.326,1108,135059.242,1423,46691.975,769
101797595,Seongdong,80,56995.952,635,60757.77,531,116408.893,468,126662.76,551,114273.395,398
101871853,Seongdong,80,115460.573,492,113108.193,366,155943.192,469,254171.721,541,167130.814,212
101930734,Gwangjin,79,78082.608,644,54331.853,577,76160.424,610,319426.111,523,84995.007,364
102048121,Gwangjin,79,118869.907,666,133699.96,859,112436.842,684,128175.217,877,68922.692,474
102085039,Yeongdeungpo,79,117614.477,276,102949.209,472,135278.123,552,135342.918,550,172378.757,279
102103531,Seongdong,79,158675.686,273,85309.392,278,86134.815,321,240643.022,475,157974.499,257
102104156,Gimpo,79,112147.295,602,120440.995,754,139855.695,783,161724.242,735,55314.382,360
102111082,Yongsan,79,267112.149,1124,222540.513,1159,252697.757,1125,294110.261,1323,148073.244,939
102118554,Gangnam,79,53152.428,483,60300.888,339,77380.806,389,144069.883,392,51818.47,152
102123858,Mapo,79,155987.747,1288,130955.801,1366,117702.154,1129,140956.916,927,63334.18,317
102137931,Gimpo,79,91143.31,816,38699.416,358,58144.551,313,124307.699,539,58514.415,232
102250478,Gangnam,78,86703.6,499,98530.828,411,114314.145,434,126226.604,588,86387.232,267
102269082,Seodaemun,78,83748.644,276,87371.02,402,181337.704,476,211052.922,522,95250.647,218
102280825,Gangnam,78,92101.98,1289,81239.841,1033,96718.62,662,158805.813,1083,75810.427,396
102301484,Seocho,78,60942.952,784,97826.256,899,252740.012,1051,193305.888,998,47675.951,445
102356913,Anseong,78,177215.489,386,177273.24,332,185113.785,357,186156.179,343,91227.145,191
102398312,Seongnam,78,451557.446,329,264062.251,426,244100.295,339,247037.431,404,127087.693,119
102411746,Goyang,78,176583.684,271,224814.357,340,206307.462,325,187892.217,262,86504.192,127
102459653,Seocho,77,95540.321,584,122578.692,557,143318.092,486,174486.551,517,78878.06,287
102588257,Gangnam,77,102133.875,48,67521.44,111,93389.418,225,211445.298,524,58416.887,155
102657839,Gangseo,77,61388.14,519,68506.076,318,130391.638,365,123724.947,512,77702.444,207
102671425,Gangnam,77,120655.896,706,109123.173,818,123252.672,859,165076.877,706,39195.113,224
102705083,Gangbuk,77,127983.094,404,80300.353,301,92798.75,393,142838.475,501,39354.002,200
102706335,Gangnam,77,82931.826,343,55196.272,225,165959.268,321,123373.36,428,62630.347,197
102748771,Yongsan,77,105443.031,792,80413.907,831,80346.787,775,124129.67,737,59144.754,326
102999603,Seo-gu,76,140067.232,539,160896.991,573,125179.405,599,137692.234,578,42364.076,357
103032533,Gangnam,76,173068.537,658,78747.233,592,248354.188,797,176820.373,570,38895.802,252
103069033,Gangnam,76,27988.619,82,23716.145,81,109294.175,30,264425.106,33,89808,15
103071647,Yangju,76,243022.559,801,333581.722,1338,331031.341,923,256620.703,1313,140767.273,543
103078272,Gangnam,76,130594.311,188,111412.064,220,131650.46,164,217291.15,200,65493.838,83
103086002,Gangnam,76,363897.02,1286,402308.567,1215,420048.111,1094,382732.53,1224,173320.139,554
103169211,Bucheon,76,143696.522,463,119346.701,413,113396.876,352,150145.33,289,120166.146,195
103198408,Gwangjin,75,89334.056,562,90094.445,526,152599.785,557,392495.947,545,89312.046,256
103217707,Gangnam,75,46196.019,428,12231.183,325,26678.287,337,144544.795,606,36069.934,362
103242676,Junggu,75,115958.51,433,120949.409,573,112726.12,479,166843.144,340,84898.692,105
103265683,Gangnam,75,86381.997,994,133108.512,1490,155297.388,1395,139966.734,1260,61145.274,550
